Rank,Population Density ▼,County / Population
193.,6.3/sq mi,"Floyd, TX / 6,263"
194.,6.1/sq mi,"Wheeler, TX / 5,587"
195.,6.0/sq mi,"Hansford, TX / 5,540"
196.,5.9/sq mi,"Crane, TX / 4,602"
197.,5.8/sq mi,"Hardeman, TX / 4,050"
198.,5.6/sq mi,"Martin, TX / 5,096"
199.,5.3/sq mi,"Reeves, TX / 13,978"
200.,5.2/sq mi,"San Saba, TX / 5,901"
201.,4.8/sq mi,"Real, TX / 3,365"
202.,4.7/sq mi,"La Salle, TX / 7,075"
203.,4.6/sq mi,"Jim Hogg, TX / 5,266"
204.,4.6/sq mi,"Dallam, TX / 6,957"
205.,4.4/sq mi,"Hemphill, TX / 4,032"
206.,4.4/sq mi,"Knox, TX / 3,776"
207.,4.4/sq mi,"Mason, TX / 4,061"
208.,4.3/sq mi,"Fisher, TX / 3,882"
209.,4.2/sq mi,"Hartley, TX / 6,091"
210.,4.1/sq mi,"Concho, TX / 4,091"
211.,4.0/sq mi,"Baylor, TX / 3,648"
212.,3.9/sq mi,"Cochran, TX / 3,031"
213.,3.9/sq mi,"Donley, TX / 3,636"
214.,3.7/sq mi,"Shackelford, TX / 3,359"
215.,3.7/sq mi,"Lipscomb, TX / 3,418"
216.,3.6/sq mi,"Hall, TX / 3,270"
217.,3.6/sq mi,"Kimble, TX / 4,522"
218.,3.5/sq mi,"Coke, TX / 3,260"
219.,3.3/sq mi,"Collingsworth, TX / 3,053"
220.,3.3/sq mi,"Sherman, TX / 3,060"
221.,3.3/sq mi,"Pecos, TX / 15,677"
222.,3.0/sq mi,"Reagan, TX / 3,520"
223.,2.7/sq mi,"Sutton, TX / 3,995"
224.,2.7/sq mi,"Upton, TX / 3,339"
225.,2.6/sq mi,"Kinney, TX / 3,598"
226.,2.6/sq mi,"Dickens, TX / 2,339"
227.,2.5/sq mi,"Schleicher, TX / 3,281"
228.,2.4/sq mi,"Menard, TX / 2,193"
229.,2.1/sq mi,"Armstrong, TX / 1,947"
230.,1.9/sq mi,"Presidio, TX / 7,479"
231.,1.8/sq mi,"Briscoe, TX / 1,601"
232.,1.8/sq mi,"Cottle, TX / 1,596"
233.,1.7/sq mi,"Throckmorton, TX / 1,584"
234.,1.6/sq mi,"Foard, TX / 1,159"
235.,1.5/sq mi,"Irion, TX / 1,626"
236.,1.5/sq mi,"Stonewall, TX / 1,409"
237.,1.5/sq mi,"Brewster, TX / 9,270"
238.,1.5/sq mi,"Sterling, TX / 1,360"
239.,1.4/sq mi,"Crockett, TX / 3,871"
240.,1.4/sq mi,"Oldham, TX / 2,068"
241.,1.3/sq mi,"Glasscock, TX / 1,190"
242.,1.2/sq mi,"Motley, TX / 1,172"
243.,1.0/sq mi,"Jeff Davis, TX / 2,282"
244.,1.0/sq mi,"Roberts, TX / 924"
245.,1.0/sq mi,"Edwards, TX / 2,037"
246.,1.0/sq mi,"Kent, TX / 858"
247.,0.7/sq mi,"Borden, TX / 676"
248.,0.7/sq mi,"Hudspeth, TX / 3,344"
249.,0.6/sq mi,"Culberson, TX / 2,325"
250.,0.6/sq mi,"Mcmullen, TX / 646"
251.,0.3/sq mi,"Terrell, TX / 809"
252.,0.3/sq mi,"King, TX / 290"
253.,0.3/sq mi,"Kenedy, TX / 528"
254.,0.1/sq mi,"Loving, TX / 89"
