,County,State,Population Density,Dem Rep Margin,Population Over 85,Nonwhite Population,Unemployment Rate (2019),Median Household Income (2019,COVID Cases Per 100K
342,Edwards,Kansas,4.8,-62.55,68,3,2.6,6962,1858.470335954253
343,Elk,Kansas,4.2,-70.53,91,3,3.7,7360,276.6798418972332
344,Ellis,Kansas,32.1,-47.91,700,7,2.3,3840,3810.457745245683
345,Ellsworth,Kansas,8.9,-54.05,190,5,2.8,261,1016.0603080957063
346,Finney,Kansas,28.5,-31.06,561,21,2.3,6206,6211.094962568898
347,Ford,Kansas,31.5,-38.42,634,24,2.5,6052,8751.003896606086
348,Franklin,Kansas,44.8,-39.16,463,14,3.3,8033,1589.4143438772314
349,Geary,Kansas,90.1,-20.69,350,66,4.4,856,1389.3274392169244
350,Gove,Kansas,2.6,-73.78999999999998,140,2,2.1,9626,1479.514415781487
351,Graham,Kansas,2.9,-65.19,116,11,3.1,1906,1611.6035455278006
352,Grant,Kansas,13.7,-57.05,129,5,2.9,1614,3930.0699300699293
353,Gray,Kansas,7.0,-69.46,141,0,2.0,5771,2154.308617234469
354,Greeley,Kansas,1.6,-69.38000000000001,56,0,2.3,1606,1055.1948051948052
355,Greenwood,Kansas,5.6,-58.98,216,4,3.2,3083,835.8408559010362
356,Hamilton,Kansas,2.6,-66.67,29,1,1.9,1559,1851.122489168964
357,Harper,Kansas,7.4,-62.18,216,6,2.5,5570,2207.5055187637968
358,Harvey,Kansas,64.4,-24.130000000000006,1225,17,2.9,7934,1077.5799471375876
359,Haskell,Kansas,7.3,-58.72,72,3,2.3,808,3225.8064516129034
360,Hodgeman,Kansas,2.3,-71.88,77,2,2.4,4058,1393.5340022296546
361,Jackson,Kansas,20.5,-41.71000000000001,280,11,2.9,6330,1920.8867967504368
362,Jefferson,Kansas,34.0,-32.33,445,9,3.1,9246,1060.757233629155
363,Jewell,Kansas,3.3,-69.81,143,0,2.8,4271,590.4828065300452
364,Johnson,Kansas,1167.0,-2.640000000000001,11488,368,2.8,7087,1958.8280895948046
365,Kearny,Kansas,4.5,-68.47,85,0,2.3,3248,2657.634184471079
366,Kingman,Kansas,9.0,-57.91,245,5,3.2,6005,1426.1744966442955
367,Kiowa,Kansas,3.5,-72.84,94,1,2.3,4399,1090.9090909090908
368,Labette,Kansas,32.5,-37.55,544,31,4.0,4571,1289.631970639209
369,Lane,Kansas,2.3,-70.26,44,0,2.6,9240,1042.3452768729644
370,Leavenworth,Kansas,165.7,-24.520000000000003,1328,85,3.4,807,2804.6185082805355
371,Lincoln,Kansas,4.4,-65.84,153,2,2.3,4439,472.65361242403776
372,Linn,Kansas,15.8,-62.07000000000001,281,7,5.9,7153,896.629908275791
373,Logan,Kansas,2.6,-72.44,106,1,2.0,267,1252.6843235504653
374,Lyon,Kansas,39.2,-15.490000000000002,803,20,3.4,7982,3289.652056032535
375,Marion,Kansas,13.0,-49.77000000000001,542,4,3.0,1712,956.4851797351273
376,Marshall,Kansas,11.1,-47.83,376,4,2.9,1066,866.7115449343655
377,Mcpherson,Kansas,32.5,-41.77,1078,16,2.2,8017,370.86638508292987
378,Meade,Kansas,4.5,-70.06,159,4,2.3,7220,3471.3612695264073
379,Miami,Kansas,55.5,-40.02,765,22,3.3,1770,1220.9013640213805
380,Mitchell,Kansas,8.8,-62.24,262,2,2.4,1514,769.3594246529518
381,Montgomery,Kansas,53.1,-50.33,890,52,4.1,2479,1435.797543121053
382,Morris,Kansas,8.3,-46.46,229,3,2.7,9287,765.1245551601422
383,Morton,Kansas,4.3,-71.14,113,0,2.9,3785,811.7510630073442
384,Nemaha,Kansas,14.1,-66.36999999999999,473,4,2.8,9567,1329.2933242107322
385,Neosho,Kansas,28.5,-46.41000000000001,494,14,4.6,6176,1080.7771599925034
386,Ness,Kansas,2.9,-73.32,131,0,2.5,1757,3672.727272727273
387,Norton,Kansas,6.4,-69.78,219,1,2.2,7252,746.1294534601753
388,Osage,Kansas,22.5,-43.61,416,10,3.6,3864,721.0483415888144
389,Osborne,Kansas,4.3,-68.63,173,2,2.0,6101,350.77462730195845
390,Ottawa,Kansas,8.4,-64.03,136,3,2.7,6451,1034.3618513323984
391,Pawnee,Kansas,9.2,-49.78999999999999,225,9,2.9,7039,6127.221702525725
392,Phillips,Kansas,6.2,-72.55999999999997,186,2,2.6,7405,2502.865876958349
393,Pottawatomie,Kansas,25.9,-50.38,475,8,2.8,9975,1181.150801788131
394,Pratt,Kansas,13.3,-53.8,361,7,2.5,2567,840.2444347446532
395,Rawlins,Kansas,2.4,-71.81,118,0,2.2,6638,2134.387351778656
396,Reno,Kansas,50.5,-35.84,2052,29,3.2,9341,1935.546307945417
397,Republic,Kansas,6.8,-65.2,260,3,2.6,8566,1056.9456427955133
398,Rice,Kansas,13.8,-56.31,267,10,2.8,1686,901.7510747614557
399,Riley,Kansas,119.7,-3.559999999999995,1089,31,2.8,7057,2501.6165535079213
400,Rooks,Kansas,5.8,-72.58999999999997,187,1,3.5,7365,2337.39837398374
401,Rush,Kansas,4.5,-64.14,148,3,2.8,4121,2404.4795783926206
402,Russell,Kansas,7.7,-66.17,310,5,2.9,5879,1575.262543757293
403,Saline,Kansas,77.3,-34.040000000000006,1423,51,3.0,3961,1440.3216287990556
404,Scott,Kansas,6.9,-73.98,160,1,1.9,3790,2218.536180800332
405,Sedgwick,Kansas,499.2,-18.4,9656,766,3.5,6381,1797.5281081772416
406,Seward,Kansas,36.4,-30.39,291,22,3.1,671,8078.215419077842
407,Shawnee,Kansas,321.4,-2.6599999999999966,4395,262,3.3,3612,1619.2226148409893
408,Sheridan,Kansas,2.8,-77.88000000000002,115,0,2.2,553,1269.3375644585485
409,Sherman,Kansas,5.8,-66.7,165,5,2.7,5966,743.6200777420988
410,Smith,Kansas,4.2,-66.80000000000001,205,2,2.5,1899,279.09572983533354
411,Stafford,Kansas,5.5,-62.56,181,2,2.7,7835,1443.695861405197
412,Stanton,Kansas,3.2,-59.19,59,0,2.5,136,3539.3818544366886
413,Stevens,Kansas,7.9,-72.93,158,1,2.6,8817,2734.7310847766635
414,Sumner,Kansas,20.1,-50.49,630,21,3.4,6946,932.7377824487653
415,Thomas,Kansas,7.4,-68.08999999999999,234,2,2.3,5345,2070.20702070207
416,Trego,Kansas,3.3,-69.43,135,1,2.8,8520,1427.0424545130218
417,Wabaunsee,Kansas,8.8,-47.22000000000001,173,2,3.2,9744,1038.8111383638725
418,Wallace,Kansas,1.7,-84.58999999999997,74,0,2.6,1350,1251.6469038208168
419,Washington,Kansas,6.4,-65.35,251,3,2.6,8104,406.9552349241584
420,Wichita,Kansas,3.1,-65.8,73,1,2.0,9800,235.96035865974517
421,Wilson,Kansas,16.0,-61.1,237,9,4.0,5697,762.4633431085042
422,Woodson,Kansas,6.4,-56.06,130,3,4.2,3894,764.8183556405354
423,Wyandotte,Kansas,1021.0,29.4,2488,651,4.3,7084,4395.239045149278
424,Adair,Kentucky,46.1,-64.53999999999999,407,17,5.3,7392,1749.8177273200708
425,Allen,Kentucky,57.5,-63.21000000000001,336,10,4.2,4624,1862.538118695754
426,Anderson,Kentucky,106.1,-49.1,377,14,3.7,908,782.5207719699301
427,Ballard,Kentucky,30.2,-57.18,212,9,5.7,7658,735.2941176470587
428,Barren,Kentucky,85.4,-49.81,970,44,4.5,2439,1859.9290379443603
429,Bath,Kentucky,41.8,-37.52,230,6,6.2,4183,736.0
430,Bell,Kentucky,78.2,-62.19,553,31,6.4,9362,2028.2728948985864
431,Boone,Kentucky,479.7,-41.75,1783,36,3.4,7696,1253.9208420359184
432,Bourbon,Kentucky,68.5,-31.55,508,47,3.8,8614,1071.3563776025874
433,Boyd,Kentucky,303.9,-37.01000000000001,1114,21,5.7,8020,1085.234813134124
434,Boyle,Kentucky,159.6,-29.03,855,38,4.7,7528,1021.290751829674
435,Bracken,Kentucky,40.5,-56.87000000000001,134,2,4.9,6432,505.8412621943875
436,Breathitt,Kentucky,27.6,-42.76,192,7,7.5,1182,768.0126682501981
437,Breckinridge,Kentucky,34.3,-51.56,378,20,5.3,7284,708.1115397763342
438,Bullitt,Kentucky,253.4,-49.78,1135,36,4.1,1022,1169.2541260590624
439,Butler,Kentucky,29.7,-62.42999999999999,255,7,4.8,3048,2678.7794083391573
440,Caldwell,Kentucky,37.0,-54.34,381,14,5.0,3659,1341.492115791951
441,Calloway,Kentucky,92.5,-35.00999999999999,815,26,4.1,1873,1671.7520063588113
442,Campbell,Kentucky,572.5,-24.450000000000006,1766,30,3.5,904,984.1425884766627
443,Carlisle,Kentucky,25.3,-63.90000000000001,140,6,4.2,1249,1764.705882352941
444,Carroll,Kentucky,79.2,-38.44,194,7,4.0,7623,1909.5099238077319
445,Carter,Kentucky,66.6,-51.67999999999999,507,12,8.3,2906,820.9874239653693
446,Casey,Kentucky,35.9,-73.23,369,7,4.2,4358,1745.1574973698864
447,Christian,Kentucky,102.8,-31.340000000000003,1174,223,5.6,299,2039.4260654830327
448,Clark,Kentucky,139.7,-37.05,736,58,3.9,162,992.7474285083972
449,Clay,Kentucky,45.5,-75.5,251,9,7.0,8146,1723.5314808301086
450,Clinton,Kentucky,49.6,-73.11,176,8,5.5,1118,1399.4910941475823
451,Crittenden,Kentucky,24.9,-66.22,192,9,4.9,3624,1396.774926186691
452,Cumberland,Kentucky,22.0,-66.63,172,9,4.2,3541,1648.0193528878135
453,Daviess,Kentucky,204.9,-32.19,2240,77,3.9,1441,1499.3448985824198
454,Edmonson,Kentucky,39.4,-60.17999999999999,285,10,4.9,3151,1152.2633744855968
455,Elliott,Kentucky,33.1,-44.13,160,7,8.2,5446,585.3398962352003
456,Estill,Kentucky,56.9,-56.41,202,1,5.0,5701,1417.836381681554
457,Fayette,Kentucky,1066.3,9.449999999999996,5140,592,3.3,5358,2182.873694112987
458,Fleming,Kentucky,41.3,-53.90000000000001,249,6,5.4,2571,596.6668952746726
459,Floyd,Kentucky,98.8,-48.24000000000001,586,22,6.4,3218,595.6896793953188
460,Franklin,Kentucky,233.5,-4.610000000000007,1005,57,3.7,3134,1402.2082328254007
461,Fulton,Kentucky,28.4,-32.54,126,13,5.7,2355,2881.554699279611
462,Gallatin,Kentucky,81.7,-50.75,83,3,4.0,9060,1127.5228323373547
463,Garrard,Kentucky,72.2,-58.39,364,16,4.6,1203,1030.227555756821
464,Grant,Kentucky,94.6,-56.05,296,4,4.1,3965,737.9632215086361
465,Graves,Kentucky,67.3,-56.38,821,28,4.6,6785,2076.960231846724
466,Grayson,Kentucky,50.7,-59.19,431,10,5.0,780,1562.7956256858515
467,Green,Kentucky,38.7,-66.38000000000001,248,15,4.4,6782,2559.181062060141
468,Greenup,Kentucky,103.4,-45.46000000000001,862,17,6.6,9457,1310.615989515072
469,Hancock,Kentucky,43.5,-35.95,154,3,3.8,6769,1066.2692043109378
470,Hardin,Kentucky,170.7,-30.19,1730,147,4.1,2278,1271.6523369202762
471,Harlan,Kentucky,61.4,-72.12,518,26,9.6,9521,1876.2014609765479
472,Harrison,Kentucky,60.2,-43.74999999999999,383,12,4.3,1709,1006.0362173038228
473,Hart,Kentucky,44.1,-49.42,324,23,4.7,7038,982.4008405568692
474,Henderson,Kentucky,99.5,-27.66,958,64,3.8,1161,2026.1004202610047
475,Henry,Kentucky,53.0,-43.59,269,24,3.7,3405,1271.238992930671
476,Hickman,Kentucky,18.9,-55.99999999999999,176,17,4.8,4290,1872.1461187214609
477,Hopkins,Kentucky,84.2,-53.91,917,65,4.6,5512,1528.4429127691
478,Jackson,Kentucky,38.6,-80.11,182,2,6.5,5317,2873.433866006453
479,Jefferson,Kentucky,1889.7,13.329999999999998,15906,2111,4.0,5860,2179.83011566898
480,Jessamine,Kentucky,284.2,-40.0,1060,33,3.6,9443,1225.1686223782685
481,Johnson,Kentucky,88.6,-70.97,365,10,6.6,9381,734.6313322516678
482,Kenton,Kentucky,985.2,-26.04,2650,66,3.6,4644,1276.0631863854658
483,Knott,Kentucky,45.7,-53.99999999999999,256,13,6.9,2228,1573.6863433743079
484,Knox,Kentucky,82.2,-67.63000000000001,566,16,6.0,742,1724.1932894525605
485,Larue,Kentucky,53.7,-55.3,294,14,4.5,5458,1000.138908181692
486,Laurel,Kentucky,134.2,-69.07000000000001,939,15,4.9,1425,1678.9173367536548
487,Lawrence,Kentucky,37.7,-62.41,231,14,7.1,6667,404.77900372135537
488,Lee,Kentucky,36.4,-64.0,103,3,5.7,9124,243.1446710792921
489,Leslie,Kentucky,27.5,-80.47999999999998,186,5,8.2,1921,921.3323883770377
490,Letcher,Kentucky,70.7,-62.96000000000001,329,10,7.4,2321,909.3861643390712
491,Lewis,Kentucky,28.0,-67.53,242,8,8.9,5751,1740.1129943502826
492,Lincoln,Kentucky,72.9,-57.24,480,35,5.0,2190,916.5342783820114
493,Livingston,Kentucky,27.6,-57.76,216,9,5.7,8182,1022.4059169023276
494,Logan,Kentucky,48.2,-46.08,560,33,4.0,6742,2140.063463951
495,Lyon,Kentucky,32.8,-44.01000000000001,222,4,4.7,8395,974.4214372716199
496,Madison,Kentucky,192.9,-31.140000000000004,1418,71,3.9,1897,1212.2045920083158
497,Magoffin,Kentucky,42.3,-51.84,180,5,11.0,950,1183.912715454704
498,Marion,Kentucky,57.6,-30.12,435,30,3.9,5661,977.5171065493646
499,Marshall,Kentucky,91.8,-51.80000000000001,754,10,4.7,2388,2052.9751470635683
500,Martin,Kentucky,55.3,-79.44,192,1,6.9,8925,822.3007976317737
501,Mason,Kentucky,70.6,-41.2,307,25,5.8,1807,1281.5856379390855
502,Mccracken,Kentucky,244.4,-37.18,1774,108,4.9,8950,1096.4630225080386
503,Mccreary,Kentucky,41.9,-75.27,209,4,6.0,29,741.4024117909781
504,Mclean,Kentucky,37.1,-52.41,210,5,4.4,8080,767.4282366725249
505,Meade,Kentucky,90.0,-46.06,357,25,4.6,7613,853.9829203415933
506,Menifee,Kentucky,30.8,-47.14,129,3,6.9,4002,955.4630913854214
507,Mercer,Kentucky,84.1,-50.49000000000001,437,33,4.6,3921,1221.9030684356906
508,Metcalfe,Kentucky,34.4,-54.43000000000001,213,10,4.8,5906,1270.976069903684
509,Monroe,Kentucky,32.6,-73.66999999999999,165,7,3.9,5596,2046.9483568075118
510,Montgomery,Kentucky,135.7,-41.02,466,17,5.3,6629,1072.5574457506127
511,Morgan,Kentucky,35.2,-54.91,240,4,5.4,5848,518.4461642497557
512,Muhlenberg,Kentucky,65.5,-46.87000000000001,683,30,6.2,3722,2628.8289465090456
513,Nelson,Kentucky,104.4,-33.63999999999999,698,41,4.5,5602,1152.8561849760993
514,Nicholas,Kentucky,35.9,-41.17999999999999,129,5,4.4,1428,674.0954739303893
515,Ohio,Kentucky,40.2,-56.38,467,5,5.1,4751,1996.3324164374426
516,Oldham,Kentucky,314.2,-31.05,795,48,3.3,2136,1788.948936361323
517,Owen,Kentucky,30.3,-53.65000000000001,178,7,4.6,8998,935.6939730299972
518,Owsley,Kentucky,23.6,-69.25,99,3,7.0,6278,1087.202718006795
519,Pendleton,Kentucky,51.9,-57.26000000000001,249,10,3.8,4583,685.4009595613434
520,Perry,Kentucky,82.5,-56.97,393,18,6.1,3108,1354.9188601599506
521,Pike,Kentucky,81.6,-62.71,1175,17,5.8,7124,855.276798673025
522,Powell,Kentucky,69.7,-45.21000000000001,153,10,5.4,7776,881.9483777004613
523,Pulaski,Kentucky,93.8,-66.66,1145,20,4.7,1541,1272.7188784068699
524,Robertson,Kentucky,22.4,-53.01000000000001,72,4,5.4,5146,569.2599620493359
525,Rockcastle,Kentucky,53.3,-70.15,283,6,4.8,7732,1150.0449236298293
526,Rowan,Kentucky,82.0,-21.239999999999995,360,8,5.3,1196,1087.4897792313984
527,Russell,Kentucky,62.4,-70.58999999999997,422,9,5.7,4648,1506.444233666239
528,Scott,Kentucky,172.3,-30.320000000000004,614,60,3.5,3500,1459.5466984773002
529,Shelby,Kentucky,113.0,-33.620000000000005,738,39,3.4,6056,2270.316579634465
530,Simpson,Kentucky,74.2,-38.94,316,40,4.5,1769,1566.8748653887576
531,Spencer,Kentucky,90.9,-55.44,245,4,3.6,5899,1162.7306082373007
532,Taylor,Kentucky,90.5,-51.01000000000001,526,30,4.3,5429,1261.2053242267846
533,Todd,Kentucky,33.1,-53.78,210,26,3.9,1027,1618.6757768016919
534,Trigg,Kentucky,29.7,-49.53,301,19,4.7,9767,1276.3633881646304
535,Trimble,Kentucky,56.4,-49.81999999999999,136,1,4.4,1674,849.9586825640421
536,Union,Kentucky,41.8,-54.26,254,21,4.5,7067,2635.421737014116
537,Warren,Kentucky,214.0,-24.17,1965,146,3.9,3478,3378.5817481338795
538,Washington,Kentucky,39.4,-46.0,282,20,3.9,246,1223.6461347664324
539,Wayne,Kentucky,42.8,-61.81,428,11,5.8,3701,890.1785275168445
540,Webster,Kentucky,40.1,-54.39,246,15,4.0,7132,1645.8043579044968
541,Whitley,Kentucky,79.9,-67.11999999999999,564,18,5.2,6863,1340.1720714758435
542,Wolfe,Kentucky,32.7,-39.88,132,7,7.1,144,712.5890736342043
543,Woodford,Kentucky,131.0,-20.19,498,32,3.1,6164,1118.425974414603
544,Adams,Pennsylvania,194.7,-26.7,2720,60,3.3,2877,838.7616616023842
545,Allegheny,Pennsylvania,1651.0,30.2,35031,3111,4.1,9881,1030.1427989918136
546,Armstrong,Pennsylvania,103.0,-23.2,1909,28,5.1,9436,704.4102880976288
547,Beaver,Pennsylvania,383.1,9.6,5124,204,4.5,4823,1191.3694343282766
548,Bedford,Pennsylvania,48.5,-44.3,1527,16,4.7,257,528.3160708319413
549,Berks,Pennsylvania,477.1,5.1,10682,358,4.3,2519,1723.319182076341
550,Blair,Pennsylvania,240.4,-30.6,3661,27,4.5,9244,608.2295676727216
551,Bradford,Pennsylvania,53.8,-36.1,1614,26,4.4,978,303.3668749896392
552,Bucks,Pennsylvania,1007.0,3.4,16533,692,3.8,8538,1429.9584573511386
553,Butler,Pennsylvania,232.8,-24.1,4920,77,3.9,7161,586.0965755138326
554,Cambria,Pennsylvania,203.0,2.5,4389,70,5.3,5163,490.8135676539264
555,Cameron,Pennsylvania,12.4,-23.2,182,0,6.0,1770,179.89655947830002
556,Carbon,Pennsylvania,167.5,-5.2,1623,34,5.4,3901,736.9667508024057
557,Centre,Pennsylvania,140.4,3.2,3149,58,3.3,8258,1757.5514979831878
558,Chester,Pennsylvania,667.0,0.2,11311,682,3.2,9224,1332.9803100636395
559,Clarion,Pennsylvania,64.7,-28.7,989,14,4.9,6284,338.2069826733961
560,Clearfield,Pennsylvania,70.6,-21.4,2240,22,5.2,6706,427.7332660399975
561,Clinton,Pennsylvania,44.2,-14.3,962,13,5.4,999,541.002277904328
562,Columbia,Pennsylvania,136.9,-13.1,1747,27,4.8,774,1436.1800381749892
563,Crawford,Pennsylvania,84.6,-19.4,2000,43,4.7,805,379.3026031265878
564,Cumberland,Pennsylvania,435.1,-14.8,6482,163,3.4,1695,767.6520503611321
565,Dauphin,Pennsylvania,483.6,6.5,6176,764,4.0,7979,1400.2924911695693
566,Delaware,Pennsylvania,2942.1,10.3,14420,1779,4.0,1961,2050.4740210358414
567,Elk,Pennsylvania,37.9,-8.1,932,9,4.9,4876,254.0956201939151
568,Erie,Pennsylvania,179.8,14.0,6825,241,4.6,8453,594.3024083521178
569,Fayette,Pennsylvania,169.6,13.0,3758,168,5.9,381,635.8587186905332
570,Forest,Pennsylvania,17.8,-20.2,139,4,6.8,1750,206.9821995308403
571,Franklin,Pennsylvania,196.1,-34.3,4231,96,3.8,744,1165.6034110187254
572,Fulton,Pennsylvania,33.7,-44.5,318,10,4.4,2277,357.88024776324835
573,Greene,Pennsylvania,66.0,5.2,848,17,5.1,956,527.1437639720697
574,Huntingdon,Pennsylvania,51.7,-33.5,1147,22,5.9,9019,954.722665248981
575,Indiana,Pennsylvania,105.8,-13.4,2117,35,5.0,7999,896.8396512554567
576,Jefferson,Pennsylvania,68.4,-32.0,1260,17,4.7,6751,269.4300518134715
577,Juniata,Pennsylvania,63.0,-40.3,670,12,4.4,4342,787.4651698097969
578,Lackawanna,Pennsylvania,460.4,28.6,6372,112,4.9,2872,1266.728349723857
579,Lancaster,Pennsylvania,535.5,-17.8,15344,370,3.4,6270,1484.6332578372947
580,Lawrence,Pennsylvania,247.7,-0.3,2846,69,5.1,8418,640.8457292543736
581,Lebanon,Pennsylvania,372.9,-24.0,4080,90,3.9,1087,1489.4952501181301
582,Lehigh,Pennsylvania,1018.1,14.8,8977,333,4.5,2139,1551.779225491311
583,Luzerne,Pennsylvania,353.5,11.7,9435,110,5.7,3469,1309.6336995182992
584,Lycoming,Pennsylvania,93.8,-27.3,3188,57,4.8,3820,639.0171140080672
585,Mckean,Pennsylvania,43.7,-32.5,1109,18,5.3,6529,147.69230769230768
586,Mercer,Pennsylvania,169.6,-5.3,3637,131,4.9,8788,691.8043573621874
587,Mifflin,Pennsylvania,112.6,-37.1,1399,17,4.7,7648,502.8393081624691
588,Monroe,Pennsylvania,272.7,13.0,2970,281,5.4,3318,1066.5351116749182
589,Montgomery,Pennsylvania,1661.3,14.8,23221,2115,3.5,155,1491.9696960579602
590,Montour,Pennsylvania,139.6,-13.5,662,10,3.6,1314,1097.0927043335162
591,Northampton,Pennsylvania,792.9,10.6,9110,273,4.5,8217,1491.7208510080745
592,Northumberland,Pennsylvania,197.5,-16.7,2813,30,5.6,7243,1208.6787094217498
593,Perry,Pennsylvania,82.4,-41.4,864,17,3.7,2366,516.5110650069156
594,Philadelphia,Pennsylvania,10839.8,65.8,30041,13421,5.5,6149,2057.3663690355943
595,Pike,Pennsylvania,100.3,-10.7,1270,73,5.6,2657,1055.385332114892
596,Potter,Pennsylvania,16.1,-45.5,530,5,5.9,4883,181.53213118722016
597,Schuylkill,Pennsylvania,188.0,-17.7,4030,24,5.4,8809,865.8804886848378
598,Snyder,Pennsylvania,120.4,-40.0,1060,8,5.4,6991,906.5689091449519
599,Somerset,Pennsylvania,71.2,-29.9,2420,28,5.3,504,314.51250561629485
600,Sullivan,Pennsylvania,14.1,-25.2,219,6,5.2,8998,214.30926475436863
601,Susquehanna,Pennsylvania,51.3,-31.0,1099,18,4.3,2573,743.9000198373337
602,Tioga,Pennsylvania,37.3,-39.5,1085,18,5.3,8799,204.47882535537443
603,Union,Pennsylvania,141.5,-22.9,1311,14,4.0,5679,1090.7552923891992
604,Venango,Pennsylvania,79.5,-25.6,1527,17,4.9,5761,187.49506591931788
605,Warren,Pennsylvania,45.9,-20.0,1203,4,4.5,554,112.2706743895282
606,Washington,Pennsylvania,241.8,3.0,5650,179,4.5,3119,678.2200952311895
607,Wayne,Pennsylvania,69.2,-27.0,1311,23,4.7,3602,492.5916551469014
608,Westmoreland,Pennsylvania,350.0,-2.8,11072,199,4.5,8398,674.4072066701252
609,Wyoming,Pennsylvania,69.7,-28.0,594,4,4.9,7599,294.84212883481376
610,York,Pennsylvania,481.0,-17.4,10027,291,3.8,5238,1115.2234232549026
611,Anderson,Texas,53.9,57.9,852,152,2.9,5969,4886.117606304668
612,Andrews,Texas,10.7,62.5,208,11,2.2,4946,2443.197006148089
613,Angelina,Texas,101.1,47.2,1737,210,4.0,6653,2524.3614138269045
614,Aransas,Texas,45.2,50.2,681,29,4.3,6912,1424.9255635899615
615,Archer,Texas,9.6,79.2,173,2,2.8,1190,1028.8787559920495
616,Armstrong,Texas,2.1,83.6,44,1,2.7,7210,688.924218335983
617,Atascosa,Texas,37.9,29.0,827,25,3.6,594,2279.4362012003203
618,Austin,Texas,43.8,59.6,635,68,3.4,9942,1671.550346297283
619,Bailey,Texas,8.6,52.8,130,10,3.7,5051,3257.142857142857
620,Bandera,Texas,25.9,63.0,572,13,3.3,3008,692.2810661128418
621,Bastrop,Texas,84.5,20.2,1197,135,3.0,1883,2102.047946981053
622,Baylor,Texas,4.0,71.8,147,8,2.3,1180,569.9629524080933
623,Bee,Texas,36.9,15.3,450,17,4.4,1806,5644.096422539536
624,Bell,Texas,295.6,15.0,4501,635,3.8,4292,1549.3601966251886
625,Bexar,Texas,1424.3,-13.4,28536,2721,3.1,4210,2928.6957077273682
626,Blanco,Texas,14.9,52.2,264,6,2.4,4832,1215.3214315648308
627,Borden,Texas,0.7,81.9,28,1,2.5,6101,152.90519877675845
628,Bosque,Texas,18.0,64.6,562,18,3.4,8460,1878.5121755418784
629,Bowie,Texas,100.8,46.5,2027,358,4.4,7339,1543.246286664164
630,Brazoria,Texas,202.3,24.4,4519,686,4.2,4225,3092.7366778530663
631,Brazos,Texas,340.9,23.2,2511,261,2.7,113,2889.041101866839
632,Brewster,Texas,1.5,4.8,246,7,2.9,5670,2390.5248288601542
633,Briscoe,Texas,1.8,72.6,53,3,3.5,4409,970.2457956015525
634,Brooks,Texas,7.6,-51.0,153,5,5.1,116,4581.982236007329
635,Brown,Texas,39.6,74.1,954,35,3.7,7097,1563.4903866469476
636,Burleson,Texas,25.5,55.0,521,65,3.1,3626,1919.4274250393107
637,Burnet,Texas,43.0,56.4,1142,34,2.7,6696,1601.079846329561
638,Caldwell,Texas,71.0,15.7,734,69,3.3,2588,3730.762183950165
639,Calhoun,Texas,20.9,36.2,470,32,3.2,2085,3903.240958196336
640,Callahan,Texas,15.0,77.0,347,15,3.1,330,702.8616510076741
641,Cameron,Texas,325.2,-32.5,7352,158,5.5,8106,5422.49676838476
642,Camp,Texas,61.3,42.7,229,40,4.2,3714,2772.262104780816
643,Carson,Texas,6.6,80.0,130,5,2.6,4799,523.1184610192372
644,Cass,Texas,31.6,59.4,824,138,4.3,4154,1288.882968094318
645,Castro,Texas,8.9,44.5,165,8,2.8,5689,3492.6958831341303
646,Chambers,Texas,42.0,61.9,461,59,4.5,9513,3141.182106439765
647,Cherokee,Texas,48.0,56.3,1079,133,3.8,3483,2984.082361432967
648,Childress,Texas,9.9,74.3,151,8,2.7,2291,1026.5535176567205
649,Clay,Texas,9.4,76.6,291,9,3.1,8356,773.5650845191483
650,Cochran,Texas,3.9,54.3,49,7,3.4,2873,2067.998597967053
651,Coke,Texas,3.5,79.1,105,3,3.2,4804,1564.8066135222912
652,Coleman,Texas,6.8,76.6,224,10,4.1,9484,978.5932721712538
653,Collin,Texas,944.5,16.7,10850,1444,3.1,6936,1504.547079914567
654,Collingsworth,Texas,3.3,72.5,71,5,3.2,9536,650.6849315068494
655,Colorado,Texas,21.3,51.0,682,36,3.1,8258,2279.812031824315
656,Comal,Texas,201.4,49.7,2746,83,3.0,6523,1764.9431210749701
657,Comanche,Texas,14.5,67.7,383,12,3.2,2251,2273.560689402273
658,Concho,Texas,4.1,69.0,81,0,3.2,987,4988.994864269993
659,Cooke,Texas,42.9,67.9,857,57,2.8,2047,1117.3861405337275
660,Coryell,Texas,72.2,39.2,720,100,3.9,8099,2421.297942094245
661,Cottle,Texas,1.8,67.6,39,5,4.2,8304,2145.922746781116
662,Crane,Texas,5.9,54.2,89,8,4.0,1987,1500.93808630394
663,Crockett,Texas,1.4,43.6,62,2,2.9,9117,4734.411085450347
664,Crosby,Texas,6.7,41.3,141,11,3.9,7911,1551.333449538086
665,Culberson,Texas,0.6,-22.7,74,2,4.0,2164,2533.394748963611
666,Dallam,Texas,4.6,67.3,95,13,1.9,587,3581.7208727871557
667,Dallas,Texas,2695.3,-26.1,32370,7112,3.5,9838,3156.0423082235134
668,Dawson,Texas,15.1,50.5,247,13,3.9,3726,3951.917033312382
669,De Witt,Texas,22.4,40.9,565,37,2.6,9208,4885.15043675186
670,Deaf Smith,Texas,12.9,63.0,338,19,2.8,4230,543.987994747702
671,Delta,Texas,18.8,20.0,92,9,3.4,4410,1400.46234982366
672,Denton,Texas,743.6,63.6,7932,781,3.0,8384,4940.476190476191
673,Dickens,Texas,2.6,69.0,54,10,4.4,9627,2261.420171867933
