,County,State,Population Density,Dem Rep Margin,Population Over 85,Nonwhite Population,Unemployment Rate (2019),Median Household Income (2019,COVID Cases Per 100K
42,Santa Clara,California,1412.2,28.3,37443,13667,2.5,25933,1120.677313403726
43,Santa Cruz,California,440.1,40.5,5192,438,4.7,4213,908.082704702924
44,Shasta,California,46.4,-23.0,4044,220,4.7,3908,529.2092403376278
45,Sierra,California,3.1,-12.6,93,5,5.4,2308,199.6672212978369
46,Siskiyou,California,7.0,-8.4,1121,88,6.5,7560,383.56416086726836
47,Solano,California,465.3,23.9,8169,2908,3.7,2808,1456.5178054833875
48,Sonoma,California,278.2,33.7,12197,778,2.7,1002,1551.1716727084408
49,Stanislaus,California,345.2,2.5,8670,911,6.0,9616,3019.6491482947736
50,Sutter,California,156.2,-9.4,2039,503,7.3,7879,1802.600777552052
51,Tehama,California,21.4,-18.1,1471,66,5.5,7572,929.5679429660132
52,Trinity,California,4.2,-0.7,300,32,5.5,680,130.24013024013024
53,Tulare,California,93.2,-7.4,6156,626,9.6,8763,3517.6267441735754
54,Tuolumne,California,23.9,-12.2,1639,67,4.5,6500,422.18877344983287
55,Ventura,California,378.5,10.4,17743,2099,3.6,4170,1529.8945870360258
56,Yolo,California,199.5,27.7,3678,578,4.1,7804,1291.156462585034
57,Yuba,California,113.5,-9.1,966,113,6.1,7504,1510.143895866172
58,Appling,Georgia,36.0,-58.0,319,47,3.9,2781,5770.695094093333
59,Atkinson,Georgia,24.1,-45.2,90,29,3.0,6779,5486.83404776485
60,Bacon,Georgia,39.2,-68.6,162,13,3.5,8775,5410.247223217485
61,Baker,Georgia,9.6,-8.7,103,39,4.7,8288,2764.976958525345
62,Baldwin,Georgia,171.5,1.7,742,253,4.2,2727,4778.347070617064
63,Banks,Georgia,78.3,-78.4,249,17,2.7,5384,2615.160653010294
64,Barrow,Georgia,435.0,-50.4,996,106,2.8,1413,2731.859682844786
65,Bartow,Georgia,214.4,-55.2,1414,112,3.3,7409,2791.030091518313
66,Ben Hill,Georgia,69.1,-27.6,286,80,5.5,5020,4832.335329341317
67,Berrien,Georgia,41.7,-66.4,362,35,4.0,9412,2376.656183945971
68,Bibb,Georgia,607.9,20.5,2886,1018,3.9,1390,4006.2941126541705
69,Bleckley,Georgia,58.9,-53.0,317,42,5.0,6019,3472.384059659753
70,Brantley,Georgia,41.3,-78.6,301,17,4.1,1874,1836.8308127060543
71,Brooks,Georgia,31.7,-18.6,238,68,3.4,6354,3402.9889370511737
72,Bryan,Georgia,70.8,-43.2,373,50,3.0,9658,2965.150023973553
73,Bulloch,Georgia,104.5,-23.1,863,180,3.7,3766,3670.4853783539343
74,Burke,Georgia,27.7,2.6,316,121,5.1,2785,3766.2511727650453
75,Butts,Georgia,124.8,-43.8,461,95,3.4,8831,2743.0221366698747
76,Calhoun,Georgia,23.1,17.2,161,99,3.6,3393,4039.4247859104853
77,Camden,Georgia,65.5,-33.8,589,121,3.6,6555,2431.127208868401
78,Candler,Georgia,44.4,-43.5,182,38,3.0,5841,4396.92677959826
79,Carroll,Georgia,222.0,-40.1,1519,195,3.4,2502,2395.159677311821
80,Catoosa,Georgia,399.8,-60.7,1217,28,3.0,5807,1830.423202130808
81,Charlton,Georgia,16.7,-48.6,226,54,3.8,499,4786.439665471923
82,Chatham,Georgia,435.4,14.9,5229,1596,3.3,4165,2989.3238434163704
83,Chattahoochee,Georgia,47.2,-11.3,65,33,4.6,6869,15430.457504355
84,Chattooga,Georgia,81.3,-58.8,500,52,5.0,9513,3275.6464560893946
85,Cherokee,Georgia,510.9,-50.0,2792,113,2.7,2733,2410.993418942471
86,Clarke,Georgia,988.8,38.1,1549,340,3.6,2112,4050.4632551760683
87,Clay,Georgia,14.3,10.3,82,47,6.9,239,4269.583627381792
88,Clayton,Georgia,1830.7,70.9,1922,1029,4.2,6059,2456.0659148144096
89,Clinch,Georgia,8.2,-42.6,87,12,3.9,7593,5893.0190389845875
90,Cobb,Georgia,2057.7,2.2,9228,1333,3.0,8603,2632.4063561891808
91,Coffee,Georgia,71.3,-39.5,567,122,3.9,9480,4843.666951678876
92,Colquitt,Georgia,82.6,-47.3,841,138,3.2,8633,4199.561403508772
93,Columbia,Georgia,430.3,-37.7,2073,314,3.0,2184,2458.618885358041
94,Cook,Georgia,73.2,-40.1,286,73,3.4,8827,3213.6653155761437
95,Coweta,Georgia,294.8,-42.3,1747,262,2.9,974,1797.1974762472307
96,Crawford,Georgia,38.4,-42.9,174,33,3.6,8004,1370.5256368913251
97,Crisp,Georgia,83.3,-22.8,527,126,3.9,6096,2614.8757375290547
98,Dade,Georgia,94.9,-65.5,323,18,3.3,8779,1799.4539587987094
99,Dawson,Georgia,104.9,-72.2,350,8,2.8,8835,3248.046575762219
100,Decatur,Georgia,44.1,64.0,10667,4399,3.4,3477,2519.17233967736
101,Dekalb,Georgia,2608.2,-18.5,502,159,3.8,8441,4567.489774276624
102,Dodge,Georgia,42.5,-45.5,420,93,5.4,5636,2130.5508371754427
103,Dooly,Georgia,36.4,-2.1,290,127,3.8,7278,2584.0179238237492
