,RUCC_2013
2705,6.0
2706,1.0
2707,7.0
2708,7.0
2709,6.0
2710,2.0
2711,7.0
2712,8.0
2713,2.0
2714,6.0
2715,9.0
2716,6.0
2717,7.0
2718,6.0
2719,9.0
2720,3.0
2721,1.0
2722,6.0
2723,3.0
2724,8.0
2725,9.0
2726,8.0
2727,2.0
2728,7.0
2729,8.0
2730,7.0
2731,8.0
2732,7.0
2733,9.0
2734,3.0
2735,1.0
2736,4.0
2737,7.0
2738,8.0
2739,9.0
2740,7.0
2741,6.0
2742,1.0
2743,3.0
2744,9.0
2745,6.0
2746,9.0
2747,7.0
2748,3.0
2749,1.0
2750,7.0
2751,6.0
2752,3.0
2753,8.0
2754,6.0
2755,5.0
2756,6.0
2757,3.0
2758,4.0
2759,1.0
2760,6.0
2761,6.0
2762,2.0
2763,4.0
2764,9.0
2765,3.0
2766,6.0
2767,6.0
2768,1.0
2769,1.0
2770,6.0
2771,1.0
2772,6.0
2773,7.0
2774,7.0
2775,6.0
2776,7.0
2820,8.0
2821,3.0
2915,1.0
2822,6.0
2823,1.0
2824,2.0
2825,2.0
2826,1.0
2827,3.0
2828,8.0
2829,2.0
2830,8.0
2831,2.0
2917,2.0
2832,6.0
2833,9.0
2834,3.0
2918,6.0
2835,2.0
2836,1.0
2837,7.0
2838,1.0
2839,8.0
2919,3.0
2920,1.0
2840,1.0
2841,1.0
2921,1.0
2922,6.0
2842,2.0
2843,1.0
2844,8.0
2923,4.0
2845,9.0
2846,1.0
2924,6.0
2847,6.0
2848,1.0
2925,1.0
2926,1.0
2849,1.0
2850,3.0
2851,3.0
2852,2.0
2927,6.0
2853,3.0
2928,1.0
2929,7.0
2854,3.0
2855,1.0
2856,1.0
2857,9.0
2858,3.0
2859,6.0
2860,6.0
2930,1.0
2861,1.0
2931,3.0
2862,1.0
2863,4.0
2864,8.0
2932,1.0
2865,1.0
2866,1.0
2868,6.0
2869,1.0
2867,8.0
2870,9.0
2871,8.0
2933,6.0
2872,1.0
2873,8.0
2874,9.0
2934,2.0
2875,8.0
2936,1.0
2935,1.0
2937,4.0
2876,1.0
2877,7.0
2878,8.0
2879,3.0
2880,3.0
2881,1.0
2938,1.0
2939,1.0
2882,8.0
2883,9.0
2940,7.0
2884,6.0
2885,6.0
2886,6.0
2887,8.0
2941,1.0
2888,4.0
2942,1.0
2943,1.0
2889,1.0
2890,6.0
2891,1.0
2892,1.0
2893,3.0
2944,3.0
2894,1.0
2895,9.0
2945,1.0
2896,2.0
2946,2.0
2897,6.0
2898,3.0
2899,7.0
2947,2.0
2900,2.0
2901,6.0
2902,7.0
2903,6.0
2904,1.0
2905,1.0
2948,3.0
2949,1.0
2906,8.0
2907,1.0
2908,5.0
2950,1.0
2909,1.0
2910,2.0
2951,3.0
2911,6.0
2952,1.0
2953,3.0
2912,7.0
2913,6.0
2914,1.0
