,County1,Dem-Rep %,State1,COVID Cases per 100K
112,Pierce,-74.0,Georgia,3190.3416388389423
113,Pike,-69.6,Georgia,1835.249446260943
114,Polk,-57.5,Georgia,3557.599793490249
115,Pulaski,-37.0,Georgia,2855.347041393553
116,Putnam,-40.0,Georgia,3232.515032325151
117,Quitman,-10.9,Georgia,1478.9038712483691
118,Rabun,-60.9,Georgia,2205.753632491101
119,Randolph,11.3,Georgia,4883.446444378872
120,Richmond,32.4,Georgia,3589.8043630689613
121,Rockdale,26.0,Georgia,2085.90036965323
122,Schley,-56.1,Georgia,2016.359140194027
123,Screven,-17.6,Georgia,3043.104682801088
124,Seminole,-32.3,Georgia,4610.630407911001
125,Spalding,-24.6,Georgia,2044.8855373821268
126,Stephens,-59.9,Georgia,4331.726133076181
127,Stewart,20.3,Georgia,7899.108895937169
128,Sumter,2.2,Georgia,3187.237501693537
129,Talbot,24.8,Georgia,2679.580306698951
130,Taliaferro,21.8,Georgia,1496.4216005204944
131,Tattnall,-49.6,Georgia,3361.5439373566405
132,Taylor,-22.6,Georgia,2705.7356608478804
133,Telfair,-30.0,Georgia,2496.847414880202
134,Terrell,9.4,Georgia,3879.9671785253777
135,Thomas,-21.8,Georgia,3396.998942655958
136,Tift,-36.9,Georgia,4485.286881212479
137,Toombs,-46.9,Georgia,5068.95266492732
138,Towns,-61.9,Georgia,2916.0089723353
139,Treutlen,-35.0,Georgia,3825.532531517171
140,Troup,-23.2,Georgia,4075.97036698035
141,Turner,-25.0,Georgia,3969.9436443331238
142,Twiggs,-1.6,Georgia,2450.7389162561576
143,Union,-65.5,Georgia,3276.0801272897884
144,Upson,-34.9,Georgia,3066.1094224924013
145,Walker,-61.5,Georgia,2319.347486417913
146,Walton,-56.4,Georgia,1973.7189855486133
147,Ware,-41.7,Georgia,4259.248894610176
148,Warren,13.8,Georgia,3007.232584697373
149,Washington,0.6,Georgia,3381.7610680278785
150,Wayne,-58.8,Georgia,3862.732649446988
151,Webster,-14.1,Georgia,1649.4054468738013
152,Wheeler,-36.9,Georgia,4417.5684277530245
153,White,-68.6,Georgia,2896.291967010845
154,Whitfield,-44.7,Georgia,4513.132239935772
155,Wilcox,-41.8,Georgia,2883.61320208454
156,Wilkes,-16.2,Georgia,2741.127135113021
157,Wilkinson,-10.3,Georgia,3864.1947732856825
158,Worth,-49.9,Georgia,2701.634810095323
0,Adams,-47.4,Illinois,1908.764422709559
1,Alexander,-8.3,Illinois,1562.2287797257418
2,Bond,-37.8,Illinois,2197.7352976987704
3,Boone,-14.5,Illinois,2265.426565067981
4,Brown,-56.0,Illinois,1079.355427181514
5,Bureau,-19.9,Illinois,2212.82334191492
6,Calhoun,-38.4,Illinois,1392.698881620595
7,Carroll,-27.0,Illinois,1698.7067458930442
8,Cass,-31.5,Illinois,3408.248950358113
9,Champaign,18.7,Illinois,2404.036453986618
10,Christian,-42.7,Illinois,1937.8405151064887
11,Clark,-47.9,Illinois,1230.4902532219414
12,Clay,-63.5,Illinois,1448.7257281553398
13,Clinton,-49.0,Illinois,3452.9577764762257
14,Coles,-26.3,Illinois,3073.8231168882485
15,Cook,53.7,Illinois,2881.054119299069
16,Crawford,-49.5,Illinois,2576.7397010767663
17,Cumberland,-57.5,Illinois,2052.7586847482817
18,DeKalb,3.2,Illinois,1647.330238233696
19,DeWitt,-42.3,Illinois,901.64982734365
20,Douglas,-46.3,Illinois,1772.41202157719
21,DuPage,14.8,Illinois,1972.9749350161067
22,Edgar,-49.3,Illinois,699.2599498863702
23,Edwards,-70.7,Illinois,1125.879593432369
24,Effingham,-60.4,Illinois,2699.3648553281587
25,Fayette,-58.2,Illinois,2170.0412448443944
26,Ford,-48.6,Illinois,856.4154000462927
27,Franklin,-45.2,Illinois,1502.5085133484106
28,Fulton,-15.1,Illinois,611.5317414094351
29,Gallatin,-47.7,Illinois,1615.5758077879038
30,Greene,-52.9,Illinois,1835.1453465957284
31,Grundy,-23.4,Illinois,1406.3540564892076
32,Hamilton,-58.0,Illinois,961.0645638245442
33,Hancock,-47.8,Illinois,1332.7309690535353
34,Hardin,-57.7,Illinois,1046.8463752944256
35,Henderson,-28.7,Illinois,1158.591634065603
36,Henry,-21.0,Illinois,1435.2012757344671
37,Iroquois,-55.9,Illinois,1371.9849524231026
38,Jackson,3.3,Illinois,2283.7004405286348
39,Jasper,-59.7,Illinois,2258.064516129032
40,Jefferson,-43.1,Illinois,1812.4402929625305
41,Jersey,-46.4,Illinois,1850.9162724475268
42,Jo Daviess,-14.8,Illinois,1412.7619496114905
43,Johnson,-58.2,Illinois,1489.892888781509
44,Kane,10.5,Illinois,2539.9932006393656
45,Kankakee,-13.2,Illinois,2590.522655695327
46,Kendall,-0.1,Illinois,1633.4599581362893
47,Knox,-3.0,Illinois,1531.2179319503412
49,LaSalle,-14.5,Illinois,1684.9331456073028
48,Lake,20.6,Illinois,2515.307917046523
50,Lawrence,-53.4,Illinois,1722.1584385763488
51,Lee,-20.2,Illinois,1269.9436884091976
52,Livingston,-40.9,Illinois,1214.6543985637345
53,Logan,-40.0,Illinois,1684.254664896219
54,Macon,-17.9,Illinois,1708.105922781484
55,Macoupin,-34.4,Illinois,1551.7880002859245
56,Madison,-15.5,Illinois,1992.8053778925705
57,Marion,-44.2,Illinois,1669.0863290676766
58,Marshall,-33.7,Illinois,1328.8518897742956
59,Mason,-31.7,Illinois,2278.621570849464
60,Massac,-49.5,Illinois,1720.1988979975808
61,McDonough,-11.6,Illinois,1014.1633152649063
62,McHenry,-7.6,Illinois,1309.9782917883074
63,McLean,-1.3,Illinois,929.4220156839964
64,Menard,-37.5,Illinois,1090.5214824532634
