,Population Density (per sq mi),County,State
807,39.2,Lyon,Kansas
837,13.0,Marion,Kansas
840,11.1,Marshall,Kansas
812,32.5,Mcpherson,Kansas
866,4.5,Meade,Kansas
802,55.5,Miami,Kansas
845,8.8,Mitchell,Kansas
803,53.1,Montgomery,Kansas
847,8.3,Morris,Kansas
870,4.3,Morton,Kansas
831,14.1,Nemaha,Kansas
819,28.5,Neosho,Kansas
883,2.9,Ness,Kansas
857,6.4,Norton,Kansas
824,22.5,Osage,Kansas
872,4.3,Osborne,Kansas
846,8.4,Ottawa,Kansas
841,9.2,Pawnee,Kansas
859,6.2,Phillips,Kansas
821,25.9,Pottawatomie,Kansas
835,13.3,Pratt,Kansas
890,2.4,Rawlins,Kansas
804,50.5,Reno,Kansas
855,6.8,Republic,Kansas
832,13.8,Rice,Kansas
797,119.7,Riley,Kansas
860,5.8,Rooks,Kansas
868,4.5,Rush,Kansas
849,7.7,Russell,Kansas
799,77.3,Saline,Kansas
854,6.9,Scott,Kansas
793,499.2,Sedgwick,Kansas
809,36.4,Seward,Kansas
794,321.4,Shawnee,Kansas
884,2.8,Sheridan,Kansas
861,5.8,Sherman,Kansas
873,4.2,Smith,Kansas
864,5.5,Stafford,Kansas
880,3.2,Stanton,Kansas
848,7.9,Stevens,Kansas
826,20.1,Sumner,Kansas
850,7.4,Thomas,Kansas
878,3.3,Trego,Kansas
844,8.8,Wabaunsee,Kansas
894,1.7,Wallace,Kansas
858,6.4,Washington,Kansas
881,3.1,Wichita,Kansas
829,16.0,Wilson,Kansas
856,6.4,Woodson,Kansas
792,1021.0,Wyandotte,Kansas
743,46.1,Adair,Kentucky
732,57.5,Allen,Kentucky
693,106.1,Anderson,Kentucky
777,30.2,Ballard,Kentucky
707,85.4,Barren,Kentucky
752,41.8,Bath,Kentucky
717,78.2,Bell,Kentucky
675,479.7,Boone,Kentucky
724,68.5,Bourbon,Kentucky
677,303.9,Boyd,Kentucky
687,159.6,Boyle,Kentucky
754,40.5,Bracken,Kentucky
782,27.6,Breathitt,Kentucky
769,34.3,Breckinridge,Kentucky
679,253.4,Bullitt,Kentucky
779,29.7,Butler,Kentucky
763,37.0,Caldwell,Kentucky
701,92.5,Calloway,Kentucky
674,572.5,Campbell,Kentucky
785,25.3,Carlisle,Kentucky
716,79.2,Carroll,Kentucky
726,66.6,Carter,Kentucky
765,35.9,Casey,Kentucky
696,102.8,Christian,Kentucky
688,139.7,Clark,Kentucky
745,45.5,Clay,Kentucky
741,49.6,Clinton,Kentucky
786,24.9,Crittenden,Kentucky
789,22.0,Cumberland,Kentucky
683,204.9,Daviess,Kentucky
